match_id,date,team_1,team_2,venue,winner,competition,is_world_cup
520596,2012-02-14,New Zealand,Zimbabwe,Seddon Park,New Zealand,Zimbabwe in New Zealand T20I Series,False
520597,2012-02-17,New Zealand,South Africa,Westpac Stadium,New Zealand,South Africa in New Zealand T20I Series,False
520598,2012-02-19,New Zealand,South Africa,Seddon Park,South Africa,South Africa in New Zealand T20I Series,False
520599,2012-02-22,New Zealand,South Africa,Eden Park,South Africa,South Africa in New Zealand T20I Series,False
521217,2011-10-29,India,England,Eden Gardens,England,,False
523735,2011-09-16,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,Pakistan in Zimbabwe T20I Series,False
523736,2011-09-18,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,Pakistan in Zimbabwe T20I Series,False
525816,2011-09-23,England,West Indies,Kennington Oval,England,West Indies in England T20I Series,False
525817,2011-09-25,England,West Indies,Kennington Oval,West Indies,West Indies in England T20I Series,False
527012,2011-10-15,Zimbabwe,New Zealand,Harare Sports Club,New Zealand,New Zealand in Zimbabwe T20I Series,False
527013,2011-10-17,Zimbabwe,New Zealand,Harare Sports Club,New Zealand,New Zealand in Zimbabwe T20I Series,False
530432,2011-11-25,Pakistan,Sri Lanka,Sheikh Zayed Stadium,Pakistan,,False
531635,2012-02-23,England,Pakistan,Dubai International Cricket Stadium,Pakistan,Pakistan v England T20I Series,False
531636,2012-02-25,England,Pakistan,Dubai International Cricket Stadium,England,Pakistan v England T20I Series,False
531637,2012-02-27,England,Pakistan,Sheikh Zayed Stadium,England,Pakistan v England T20I Series,False
531982,2011-10-11,Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,,False
533272,2012-09-18,Sri Lanka,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,ICC World Twenty20,False
533273,2012-09-19,Australia,Ireland,R Premadasa Stadium,Australia,ICC World Twenty20,False
533275,2012-09-20,South Africa,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,ICC World Twenty20,False
533276,2012-09-21,Bangladesh,New Zealand,Pallekele International Cricket Stadium,New Zealand,ICC World Twenty20,False
533278,2012-09-22,Sri Lanka,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,ICC World Twenty20,False
533279,2012-09-22,Australia,West Indies,R Premadasa Stadium,Australia,ICC World Twenty20,False
